"","age","mage","id","block","blocktrial","trial","stimulus","prompts"
"98","m36",3.43326488706365,"46993","Transfer",2,2,"Bike",1
"99","m36",3.43326488706365,"46993","Transfer",3,3,"Hammer",1
"100","m36",3.43326488706365,"46993","Transfer",4,4,"Comb",1
"101","m36",3.43326488706365,"46993","Transfer",5,5,"Deer",1
"102","m36",3.43326488706365,"46993","Transfer",6,6,"Duck",1
"103","m36",3.43326488706365,"46993","Imitation",1,7,"Comb",1
"104","m36",3.43326488706365,"46993","Imitation",2,8,"Bike",1
"105","m36",3.43326488706365,"46993","Imitation",3,9,"Fork",1
"106","m36",3.43326488706365,"46993","Imitation",4,10,"Hammer",1
"107","m36",3.43326488706365,"46993","Imitation",5,11,"Duck",1
"108","m36",3.43326488706365,"46993","Imitation",6,12,"Deer",1
"109","m36",3.43600273785079,"47453","Transfer",1,1,"Comb",1
"110","m36",3.43600273785079,"47453","Transfer",2,2,"Fork",1
"111","m36",3.43600273785079,"47453","Transfer",3,3,"Bike",1
"112","m36",3.43600273785079,"47453","Transfer",4,4,"Hammer",0
"113","m36",3.43600273785079,"47453","Transfer",5,5,"Duck",1
"114","m36",3.43600273785079,"47453","Transfer",6,6,"Deer",1
"115","m36",3.43600273785079,"47453","Imitation",1,7,"Fork",1
"116","m36",3.43600273785079,"47453","Imitation",2,8,"Hammer",0
"117","m36",3.43600273785079,"47453","Imitation",3,9,"Comb",0
"118","m36",3.43600273785079,"47453","Imitation",4,10,"Bike",0
"119","m36",3.43600273785079,"47453","Imitation",5,11,"Deer",0
"120","m36",3.43600273785079,"47453","Imitation",6,12,"Duck",0
"121","m36",3.43052703627652,"47262","Transfer",1,1,"Bike",1
"122","m36",3.43052703627652,"47262","Transfer",2,2,"Hammer",1
"123","m36",3.43052703627652,"47262","Transfer",3,3,"Comb",1
"124","m36",3.43052703627652,"47262","Transfer",4,4,"Fork",1
"125","m36",3.43052703627652,"47262","Transfer",5,5,"Duck",1
"126","m36",3.43052703627652,"47262","Transfer",6,6,"Deer",0
"127","m36",3.43052703627652,"47262","Imitation",1,7,"Hammer",0
"128","m36",3.43052703627652,"47262","Imitation",2,8,"Fork",0
"129","m36",3.43052703627652,"47262","Imitation",3,9,"Comb",0
"130","m36",3.43052703627652,"47262","Imitation",4,10,"Bike",0
"131","m36",3.43052703627652,"47262","Imitation",5,11,"Duck",0
"132","m36",3.43052703627652,"47262","Imitation",6,12,"Deer",0
"133","m48",4.40246406570842,"43091","Transfer",1,1,"Hammer",1
"134","m48",4.40246406570842,"43091","Transfer",2,2,"Fork",1
"135","m48",4.40246406570842,"43091","Transfer",3,3,"Bike",1
"136","m48",4.40246406570842,"43091","Transfer",4,4,"Comb",1
"137","m48",4.40246406570842,"43091","Transfer",5,5,"Deer",1
"138","m48",4.40246406570842,"43091","Transfer",6,6,"Duck",1
"139","m48",4.40246406570842,"43091","Imitation",1,7,"Bike",1
"140","m48",4.40246406570842,"43091","Imitation",2,8,"Hammer",1
"141","m48",4.40246406570842,"43091","Imitation",3,9,"Fork",1
"142","m48",4.40246406570842,"43091","Imitation",4,10,"Comb",1
"143","m48",4.40246406570842,"43091","Imitation",5,11,"Deer",1
"144","m48",4.40246406570842,"43091","Imitation",6,12,"Duck",1
"145","m48",4.39425051334702,"53416","Transfer",1,1,"Fork",1
"146","m48",4.39425051334702,"53416","Transfer",2,2,"Hammer",0
"147","m48",4.39425051334702,"53416","Transfer",3,3,"Bike",0
"148","m48",4.39425051334702,"53416","Transfer",4,4,"Comb",0
"149","m48",4.39425051334702,"53416","Transfer",5,5,"Deer",1
"150","m48",4.39425051334702,"53416","Transfer",6,6,"Duck",0
"151","m48",4.39425051334702,"53416","Imitation",1,7,"Comb",0
"152","m48",4.39425051334702,"53416","Imitation",2,8,"Fork",0
"153","m48",4.39425051334702,"53416","Imitation",3,9,"Hammer",0
"154","m48",4.39425051334702,"53416","Imitation",4,10,"Bike",0
"155","m48",4.39425051334702,"53416","Imitation",5,11,"Duck",0
"156","m48",4.39425051334702,"53416","Imitation",6,12,"Deer",0
"157","m48",4.33675564681725,"47771","Transfer",1,1,"Comb",1
"158","m48",4.33675564681725,"47771","Transfer",2,2,"Bike",1
"159","m48",4.33675564681725,"47771","Transfer",3,3,"Hammer",1
"160","m48",4.33675564681725,"47771","Transfer",4,4,"Fork",1
"161","m48",4.33675564681725,"47771","Transfer",5,5,"Duck",1
"162","m48",4.33675564681725,"47771","Transfer",6,6,"Deer",1
"163","m48",4.33675564681725,"47771","Imitation",1,7,"Fork",1
"164","m48",4.33675564681725,"47771","Imitation",2,8,"Bike",1
"165","m48",4.33675564681725,"47771","Imitation",3,9,"Comb",1
"166","m48",4.33675564681725,"47771","Imitation",4,10,"Hammer",1
"167","m48",4.33675564681725,"47771","Imitation",5,11,"Deer",1
"168","m48",4.33675564681725,"47771","Imitation",6,12,"Duck",1
"169","m48",4.41067761806982,"41875","Transfer",1,1,"Comb",1
"170","m48",4.41067761806982,"41875","Transfer",2,2,"Bike",1
"171","m48",4.41067761806982,"41875","Transfer",3,3,"Hammer",0
"172","m48",4.41067761806982,"41875","Transfer",4,4,"Fork",0
"173","m48",4.41067761806982,"41875","Transfer",5,5,"Duck",0
"174","m48",4.41067761806982,"41875","Transfer",6,6,"Deer",0
"175","m48",4.41067761806982,"41875","Imitation",1,7,"Fork",0
"176","m48",4.41067761806982,"41875","Imitation",2,8,"Bike",0
"177","m48",4.41067761806982,"41875","Imitation",3,9,"Comb",0
"178","m48",4.41067761806982,"41875","Imitation",4,10,"Hammer",0
"179","m48",4.41067761806982,"41875","Imitation",5,11,"Deer",0
"180","m48",4.41067761806982,"41875","Imitation",6,12,"Duck",0
"181","m48",4.47912388774812,"43371","Transfer",1,1,"Bike",1
"182","m48",4.47912388774812,"43371","Transfer",2,2,"Comb",0
"183","m48",4.47912388774812,"43371","Transfer",3,3,"Fork",0
"184","m48",4.47912388774812,"43371","Transfer",4,4,"Hammer",0
"185","m48",4.47912388774812,"43371","Transfer",5,5,"Duck",0
"186","m48",4.47912388774812,"43371","Transfer",6,6,"Deer",0
"187","m48",4.47912388774812,"43371","Imitation",1,7,"Hammer",0
"188","m48",4.47912388774812,"43371","Imitation",2,8,"Bike",0
"189","m48",4.47912388774812,"43371","Imitation",3,9,"Fork",0
"190","m48",4.47912388774812,"43371","Imitation",4,10,"Comb",0
"191","m48",4.47912388774812,"43371","Imitation",5,11,"Duck",0
"192","m48",4.47912388774812,"43371","Imitation",6,12,"Deer",0
"193","m48",4.47912388774812,"43342","Transfer",1,1,"Hammer",1
"194","m48",4.47912388774812,"43342","Transfer",2,2,"Fork",0
"195","m48",4.47912388774812,"43342","Transfer",3,3,"Comb",0
"196","m48",4.47912388774812,"43342","Transfer",4,4,"Bike",1
"197","m48",4.47912388774812,"43342","Transfer",5,5,"Deer",1
"198","m48",4.47912388774812,"43342","Transfer",6,6,"Duck",0
"199","m48",4.47912388774812,"43342","Imitation",1,7,"Bike",0
"200","m48",4.47912388774812,"43342","Imitation",2,8,"Fork",0
"201","m48",4.47912388774812,"43342","Imitation",3,9,"Hammer",0
"202","m48",4.47912388774812,"43342","Imitation",4,10,"Comb",0
"203","m48",4.47912388774812,"43342","Imitation",5,11,"Deer",0
"204","m48",4.47912388774812,"43342","Imitation",6,12,"Duck",0
"205","m48",4.40793976728268,"42862","Transfer",1,1,"Comb",1
"206","m48",4.40793976728268,"42862","Transfer",2,2,"Hammer",0
"207","m48",4.40793976728268,"42862","Transfer",3,3,"Bike",0
"208","m48",4.40793976728268,"42862","Transfer",4,4,"Fork",0
"209","m48",4.40793976728268,"42862","Transfer",5,5,"Duck",1
"210","m48",4.40793976728268,"42862","Transfer",6,6,"Deer",0
"211","m48",4.40793976728268,"42862","Imitation",1,7,"Fork",0
"212","m48",4.40793976728268,"42862","Imitation",2,8,"Comb",0
"213","m48",4.40793976728268,"42862","Imitation",3,9,"Hammer",0
"214","m48",4.40793976728268,"42862","Imitation",4,10,"Bike",0
"215","m48",4.40793976728268,"42862","Imitation",5,11,"Deer",0
"216","m48",4.40793976728268,"42862","Imitation",6,12,"Duck",0
"217","m48",4.19164955509925,"42897","Transfer",1,1,"Bike",1
"218","m48",4.19164955509925,"42897","Transfer",2,2,"Fork",1
"219","m48",4.19164955509925,"42897","Transfer",3,3,"Comb",0
"220","m48",4.19164955509925,"42897","Transfer",4,4,"Hammer",0
"221","m48",4.19164955509925,"42897","Transfer",5,5,"Duck",0
"222","m48",4.19164955509925,"42897","Transfer",6,6,"Deer",0
"223","m48",4.19164955509925,"42897","Imitation",1,7,"Hammer",0
"224","m48",4.19164955509925,"42897","Imitation",2,8,"Comb",0
"225","m48",4.19164955509925,"42897","Imitation",3,9,"Bike",0
"226","m48",4.19164955509925,"42897","Imitation",4,10,"Fork",0
"227","m48",4.19164955509925,"42897","Imitation",5,11,"Duck",0
"228","m48",4.19164955509925,"42897","Imitation",6,12,"Deer",0
"229","m48",4.16153319644079,"43015","Transfer",1,1,"Hammer",1
"230","m48",4.16153319644079,"43015","Transfer",2,2,"Bike",1
"231","m48",4.16153319644079,"43015","Transfer",3,3,"Comb",0
"232","m48",4.16153319644079,"43015","Transfer",4,4,"Fork",1
"233","m48",4.16153319644079,"43015","Transfer",5,5,"Deer",0
"234","m48",4.16153319644079,"43015","Transfer",6,6,"Duck",1
"235","m48",4.16153319644079,"43015","Imitation",1,7,"Bike",0
"236","m48",4.16153319644079,"43015","Imitation",2,8,"Comb",0
"237","m48",4.16153319644079,"43015","Imitation",3,9,"Hammer",0
"238","m48",4.16153319644079,"43015","Imitation",4,10,"Fork",0
"239","m48",4.16153319644079,"43015","Imitation",5,11,"Deer",1
"240","m48",4.16153319644079,"43015","Imitation",6,12,"Duck",1
"241","m48",4.40246406570842,"43565","Transfer",1,1,"Fork",1
"242","m48",4.40246406570842,"43565","Transfer",2,2,"Bike",0
"243","m48",4.40246406570842,"43565","Transfer",3,3,"Hammer",0
"244","m48",4.40246406570842,"43565","Transfer",4,4,"Comb",0
"245","m48",4.40246406570842,"43565","Transfer",5,5,"Deer",0
"246","m48",4.40246406570842,"43565","Transfer",6,6,"Duck",0
"247","m48",4.40246406570842,"43565","Imitation",1,7,"Comb",0
"248","m48",4.40246406570842,"43565","Imitation",2,8,"Bike",0
"249","m48",4.40246406570842,"43565","Imitation",3,9,"Fork",0
"250","m48",4.40246406570842,"43565","Imitation",4,10,"Hammer",0
"251","m48",4.40246406570842,"43565","Imitation",5,11,"Duck",0
"252","m48",4.40246406570842,"43565","Imitation",6,12,"Deer",0
"253","m48",4.28747433264887,"43016","Transfer",1,1,"Comb",1
"254","m48",4.28747433264887,"43016","Transfer",2,2,"Fork",0
"255","m48",4.28747433264887,"43016","Transfer",3,3,"Bike",1
"256","m48",4.28747433264887,"43016","Transfer",4,4,"Hammer",0
"257","m48",4.28747433264887,"43016","Transfer",5,5,"Duck",0
"258","m48",4.28747433264887,"43016","Transfer",6,6,"Deer",0
"259","m48",4.28747433264887,"43016","Imitation",1,7,"Fork",0
"260","m48",4.28747433264887,"43016","Imitation",2,8,"Hammer",0
"261","m48",4.28747433264887,"43016","Imitation",3,9,"Comb",0
"262","m48",4.28747433264887,"43016","Imitation",4,10,"Bike",0
"263","m48",4.28747433264887,"43016","Imitation",5,11,"Deer",0
"264","m48",4.28747433264887,"43016","Imitation",6,12,"Duck",0
"265","m48",4.42984257357974,"42369","Transfer",1,1,"Bike",1
"266","m48",4.42984257357974,"42369","Transfer",2,2,"Hammer",0
"267","m48",4.42984257357974,"42369","Transfer",3,3,"Comb",0
"268","m48",4.42984257357974,"42369","Transfer",4,4,"Fork",0
"269","m48",4.42984257357974,"42369","Transfer",5,5,"Duck",0
"270","m48",4.42984257357974,"42369","Transfer",6,6,"Deer",0
"271","m48",4.42984257357974,"42369","Imitation",1,7,"Hammer",0
"272","m48",4.42984257357974,"42369","Imitation",2,8,"Fork",0
"273","m48",4.42984257357974,"42369","Imitation",3,9,"Comb",0
"274","m48",4.42984257357974,"42369","Imitation",4,10,"Bike",0
"275","m48",4.42984257357974,"42369","Imitation",5,11,"Duck",0
"276","m48",4.42984257357974,"42369","Imitation",6,12,"Deer",0
"277","m36",3.37850787132101,"48238","Transfer",1,1,"Bike",1
"278","m36",3.37850787132101,"48238","Transfer",2,2,"Comb",1
"279","m36",3.37850787132101,"48238","Transfer",3,3,"Fork",1
"280","m36",3.37850787132101,"48238","Transfer",4,4,"Hammer",1
"281","m36",3.37850787132101,"48238","Transfer",5,5,"Duck",1
"282","m36",3.37850787132101,"48238","Transfer",6,6,"Deer",1
"283","m36",3.37850787132101,"48238","Imitation",1,7,"Hammer",1
"284","m36",3.37850787132101,"48238","Imitation",2,8,"Bike",1
"285","m36",3.37850787132101,"48238","Imitation",3,9,"Fork",1
"286","m36",3.37850787132101,"48238","Imitation",4,10,"Comb",1
"287","m36",3.37850787132101,"48238","Imitation",5,11,"Duck",1
"288","m36",3.37850787132101,"48238","Imitation",6,12,"Deer",1
